============================ slowest test durations ============================
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.list_4]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.scaffold_0]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.list_3]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_18]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.delete_0]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.run_4]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.new_5]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.profile_0]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.list_1]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.get_batch_list_3]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_31]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.delete_0]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.new_ds_choice_1]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_15]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.edit_3]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.list_3]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.delete_3]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_35]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.delete_6]
